Panchayat,Latitude,Longitude
Vettikkavala,8.9989249,76.8264496
Kareepra,8.9510576,76.7206468
Elampalloor,8.9560073,76.6709397
Edamulakkal*,8.9280632,76.8788401
Thekkumbhagam,8.9620476,76.5611345
Mayyanad,8.8395937,76.6459316
Kulathupuzha*,8.9065347,77.0564917
Karavaloor*,8.9807724,76.9250357
Pattazhi Vadakkekkara*,9.0969438,76.8065967
Elamadu,8.8978269,76.8353962
Alappad,9.0626871,76.4988405
Chadayamangalam,8.8719144,76.8691239
Thrikkovilvattom,8.9067337,76.6672421
Piravanthoor,9.0611497,76.9056716
Aryankavu*,8.9811615,77.1528919
Thodiyoor,9.0750768,76.5754692
Paravoor(M)*,12.126429,75.337317
Perayam,8.9804582,76.6715901
Veliyam,8.9151418,76.7658981
Chithara,8.8149645,76.9671898
Chirakkara,8.8301643,76.7241066
Poothakulam,10.7237519,76.555667
Ezhukone,8.97952,76.7153297
East Kallada,9.0081093,76.652996
Perinadu,8.9427646,76.6288287
Munroethuruthu,8.99525,76.65595
Thalavoor,9.0356649,76.8305322
Alayamon,8.9004707,76.9550755
West Kallada,9.0114387,76.6066872
Thevalakkara,8.9976716,76.5782434
Poruvazhy,9.0726261,76.6555
Pathanapuram,9.0926952,76.8562962
Kottarakkara*,9.0054869,76.7831987
Kalluvathukkal,8.8312511,76.7458561
Karunagappally(M),9.0417201,76.5902698
Sooranadu North*,9.1030498,76.6196171
Nilamel,8.8234714,76.8823652
Adichanalloor,8.8805138,76.7118791
Sasthamkotta,9.0314647,76.6009828
Panmana,9.0082147,76.5425181
Chavara,8.9753627,76.5350494
Pattazhi,9.0732966,76.8040597
Melila,9.0107868,76.8518536
Kulasekharapuram*,9.0912416,76.5160835
Pooyappalli,8.9060248,76.7670196
Clappana,9.100677,76.4943052
Kundara,8.9602036,76.6782297
Thazhava,9.0964987,76.5530468
Vilakkudy,9.03031,76.86502
Nedumpana,8.9087479,76.694503
Punalur(M),9.01956,76.92260
Chathanoor,8.8584221,76.7220341
Kadakkal,8.8267069,76.9171188
Yeroor,8.935959,76.9456082
Kottamkara,8.93866,76.67919
Mylam,9.0308389,76.7828578
Ochira,9.1318373,76.5251596
Mynagappally,9.039542,76.5840215
Ittiva,8.8608055,76.9208785
Ummannoor,8.9336242,76.8211024
Kunnathur,9.070971,76.6502558
Neendakara,8.9428812,76.538628
Kulakkada,9.072538,76.7534577
Kollam(C)*,8.8870533,76.5906696
Thrikkaruva,8.9462468,76.598201
Sooranaadu South,9.0740182,76.6035785
Thenmala*,8.9652655,77.0699638
Pavithreswaram,9.0306243,76.6895029
Neduvathoor,8.9954402,76.7399321
Anchal,8.9292657,76.9065012
Velinalloor,8.8764007,76.7933592
Kummil,8.7952771,76.9229676
Panayam,8.962758,76.6189148
Perumon,8.95787,76.61527
